asins,ean,upc,dimension,weight,keys,product_id
B071ZVQVFQ,,887000000000.0,36.3 in x 20.9 in x 2.9 in,15.4 lb,"841434197719,samsung40classfhd1080psmartledtvun40m5300/564823696,samsung40classfhd1080psmartledtvun40m5300/567138282,samsungun40m5300afxzaflat40led1920x1080p5seriessmarttv2017withflattiltwallmountbundletwo26foothdmicablessixoutletsurgeadapter/564823696,samsungelectronicsun40m5300afxzaflat40led1920x1080p5seriessmarttv2017/b071zvqvfq,samsungelectronicsun40m5300a40inch1080psmartledtv2017model/b071zvqvfq,m5300series40classfullhdsmartledtv/saun40m5300,887276222332,refurbishedsamsung40classfhd1080psmartledtvun40m5300/567138282,752830434127,samsung/un40m5300afxza,samsungelectronicsun40m5300afxzaflat40led1920x1080psmarttv2017/b071zvqvfq",AV4GShTMvKc47QAVrFsX
B001AVRD62,27108105321.0,27108105321.0,11.4 in x 11.4 in x 12.7 in,18.7 lbs,"nssp1800bl51channelhometheatersystemblack/yanssp1800bl,nssp1800bl51channelhometheatersystemblack/4452997,nssp1800bl51channelhometheatersystemblack/550726013,nssp1800bl51channelhometheatersystemblack/1306813820,799665006693,nssp1800bl51channelhometheatersystemblack/b001avrd62,027108105321,0027108105321,yamaha/nssp1800bl",AVphUeKeilAPnD_x3-Be
B00TVFO08S,,17817664585.0,Inconnue,1.18 lb,"acoustimass6seriesvhometheaterspeakersystemblack/boacm6svhts,acoustimass6seriesvhometheaterspeakersystemblack/182715469802,bose/7209601100,017817664585,acoustimass6seriesvhometheaterspeakersystemblack/b00tvfo08s,acoustimass6seriesvhometheaterspeakersystemblack/4368058",AVpf0Nyo1cnluZ0-rzhu
B01KUAMCWI,,97855121868.0,1.7 in x 2.7 in x 4.9 in,3.68 ounces,"logitech/910004797,097855121868,logitechgg403prodigywirelessopticalgamingmouseblack/5705510,logitechg403wirelessgamingmousewithhighperformancegamingsensor/b01kuamcwi",AVqlHaLknnc1JgDc3m5y
B01CEAT9ZU,27242896000.0,27242896000.0,10.9 in x 4.1 in x 8.8 in,4.79 pounds,"0027242896000,sony/mexm100bt,sonymexm100bt160wrmsmarinecdreceiverwithbluetoothblacksiriusxmready/b01ceat9zu,027242896000,sonyindashcddmreceiverbuiltinbluetoothsatelliteradioreadywithdetachablefaceplateblack/5495318,sonyindashcddmreceiverbuiltinbluetoothsatelliteradioreadywithdetachablefaceplateblack/b01ceat9zu",AVpjedgc1cnluZ0-W4NI
"B01MUG578I,B072MP2CFG",,27242902695.0,10.5 x 4.5 x 6.7 inches,3 pounds,"sonysrsxb30blkxb30portablewirelessspeakerwithbluetooth/b01mug578i,027242902695,sonyxb30portablebluetoothspeakerblack/272855583204,sonyxb30portablebluetoothspeakerblack/311881660787,sony/srsxb30blk,sonyxb30portablebluetoothspeakerblack/b072mp2cfg,sonyxb30portablebluetoothspeakerblack/b01mug578i,sonyxb30portablebluetoothspeakerblack/5744203,sonyxb30portablebluetoothspeakerblack/282573811327,sonyxb30portablebluetoothspeakerblack/564734192,sonyxb30portablebluetoothspeakerblack/sosrsxb30b",AVsRhL-fQMlgsOJE6zvB
B00IWQ3YPC,,27242875340.0,34.75 in x 32.25 in x 32.25 in,11.9 lb,"sonylbtgpx555minisystemwithbluetoothnfc/331874713008,sonylbtgpx555minisystemwithbluetoothnfc/8038037,sonylbtgpx555minisystemwithbluetoothnfc/554400095,sonylbtgpx555minisystemwithbluetoothnfc/9sia0aj3md4812,027242875340,sonylbtgpx555minisystemwithbluetoothnfc/b00iwq3ypc,sony/lbtgpx555,sonylbtgpx555minisystemwithbluetoothnfc/solbtgpx555",AVpfuJ4pilAPnD_xhDyM
B000O3TFWW,,27108105000.0,21.00 in x 17.00 in x 10.00 in,4.6 lbs,"nsiw480cwhinceiling8naturalsoundthreewayspeakersystempair/yansiw480cwh,yamahansiw480cwh3wayinceilingspeakersystemwhite/b000o3tfww,027108105000,yamaha/nsiw480cwh,yamaha83wayinceilingspeakerspairwhite/8285884,yamahansiw480cwh83wayinceilingspeakersystemwhite/b000o3tfww,yamahansiw480cwh83wayinceilingspeakersystemwhite/553501954,yamaha/nsiw480cw",AVpg59zyilAPnD_xyv3y
B00LIL7YVI,816000000000.0,816000000000.0,0.75 in x 3.25 in x 2 in,13.6 ounces,"0816479012303,motorolawifipetvideocamera/4556600,816479012303,motorolawifipetvideocamera/554756472,motorolawifipetvideocamera/2399369,motorolawifipetvideocamera/b00lil7yvi,motorola/scout66",AVpgGPyq1cnluZ0-wbTJ
"B00170HCOO,B001BBT7RY,B00170O1HK",93207057342.0,93207057342.0,14.44 in x 8.88 in x 9.25 in,9.2 lb,"openboxlikenewdefinitivetechnologyaw6500200wrmsspeaker3waywhite/9sia3jx1uk9967,openboxlikenewdefinitivetechnologyaw6500200wrmsspeaker3waywhite/b00170o1hk,openboxlikenewdefinitivetechnologyaw6500200wrmsspeaker3waywhite/8819291,aw6500allweatheroutdoorspeakerwhitesingle/deaw6500wh,093207057342,0093207057342,definitivetechnology/aw6500wob,definitivetechnology/necb,openboxlikenewdefinitivetechnologyaw6500200wrmsspeaker3waywhite/b001bbt7ry,openboxlikenewdefinitivetechnologyaw6500200wrmsspeaker3waywhite/b00170hcoo,5years/aw6500wob",AVpjI0B41cnluZ0-T5TH
